,,,,,,,,,,,a,b
-0.499086502,-0.345320057,-0.52705382,0.186505088,0.578289734,-0.297346409,0.204953624,-0.353228318,-0.31122199,0.204953624,,-0.115855503,54
-0.479823393,-0.345320057,-0.52705382,0.186505088,0.578289734,-0.297346409,0.204953624,-0.336375395,-0.295063187,0.204953624,,-0.110628019,55
-0.479823393,-0.328597812,-0.52705382,0.186505088,0.578289734,-0.297346409,0.212583051,-0.336375395,-0.295063187,0.212583051,,-0.107429909,56
-0.479823393,-0.328597812,-0.507328574,0.194439361,0.57975009,-0.281416889,0.212583051,-0.336375395,-0.295063187,0.212583051,,-0.10292497,57
-0.460878591,-0.328597812,-0.507328574,0.194439361,0.57975009,-0.281416889,0.212583051,-0.319800953,-0.279171395,0.212583051,,-0.097783866,58
-0.460878591,-0.312151888,-0.507328574,0.194439361,0.57975009,-0.281416889,0.220086408,-0.319800953,-0.279171395,0.220086408,,-0.094638602,59
-0.460878591,-0.312151888,-0.487929272,0.202242528,0.581186315,-0.265750591,0.220086408,-0.319800953,-0.279171395,0.220086408,,-0.090208103,60
-0.442246837,-0.312151888,-0.487929272,0.202242528,0.581186315,-0.265750591,0.220086408,-0.303500389,-0.263542201,0.220086408,,-0.085151952,61
-0.442246837,-0.295977719,-0.487929272,0.202242528,0.581186315,-0.265750591,0.227465778,-0.303500389,-0.263542201,0.227465778,,-0.082058661,62
-0.442246837,-0.295977719,-0.468850527,0.209916754,0.582598807,-0.250343165,0.227465778,-0.303500389,-0.263542201,0.227465778,,-0.077701372,63
-0.423922956,-0.295977719,-0.468850527,0.209916754,0.582598807,-0.250343165,0.227465778,-0.28746918,-0.248171267,0.227465778,,-0.07272877,64
-0.423922956,-0.280070815,-0.468850527,0.209916754,0.582598807,-0.250343165,0.234723211,-0.28746918,-0.248171267,0.234723211,,-0.069686593,65
-0.423922956,-0.280070815,-0.450087042,0.217464169,0.583987959,-0.235190334,0.234723211,-0.28746918,-0.248171267,0.234723211,,-0.065401305,66
-0.405901863,-0.280070815,-0.450087042,-0.363412483,0.583987959,-0.235190334,0.234723211,-0.271702872,-0.233054326,0.234723211,,-0.118598536,67
-0.405901863,-0.264426759,-0.450087042,-0.346391276,0.583987959,-0.235190334,0.24186072,-0.271702872,-0.233054326,0.24186072,,-0.113904507,68
-0.388178553,-0.275153157,-0.431633609,-0.346391276,0.585354157,-0.220287892,0.24186072,-0.25619709,-0.218187179,0.217633323,,-0.109118056,69
-0.395604903,-0.275153157,-0.437901157,-0.339348851,0.551966935,-0.220287892,0.244813822,-0.267142945,-0.218187179,0.217633323,,-0.1139212,70
-0.395604903,-0.259590362,-0.437901157,-0.339348851,0.551966935,-0.214122094,0.244813822,-0.267142945,-0.212035984,0.225053228,,-0.110391231,71
-0.378051742,0.192678587,-0.419649085,-0.333873526,0.553862253,-0.226189949,0.247109792,-0.251712512,-0.224159469,0.440682411,,-0.039930324,72
-0.378051742,0.192678587,-0.419649085,-0.34274801,0.608941925,-0.226189949,0.247109792,-0.251712512,-0.224159469,0.440682411,,-0.035309805,73
-0.370789224,0.200510849,-0.412097398,-0.34274801,0.608941925,-0.21638748,0.249246988,-0.245328261,-0.214379293,0.444416614,,-0.029861329,74
0.135775445,0.200510849,-0.412097398,-0.332766465,0.609895779,0.214786545,0.224822624,0.199976849,0.215814183,0.578042934,,0.163476134,75
0.135775445,0.203751402,-0.406226133,-0.332766465,0.609895779,0.214786545,0.224822624,0.199976849,0.215814183,0.578042934,,0.164387316,76
0.141603978,0.203751402,0.117641523,-0.326959828,0.61029043,0.220801837,0.229083391,0.205100529,0.221815795,0.579507368,,0.220263643,77
0.45729432,0.206270857,0.117641523,-0.326959828,0.644186256,0.488875009,0.229083391,0.205100529,0.221815795,0.632911346,,0.28762192,78
0.45729432,0.483080681,0.12307053,-0.32181818,0.644186256,0.488875009,0.231608678,0.207865117,0.224644987,0.632911346,,0.317171875,79
0.460081422,0.483080681,0.449903981,-0.32181818,0.644433063,0.491481999,0.231608678,0.483716403,0.490407491,0.633469124,,0.404636466,80
0.460081422,0.484896062,0.449903981,-0.31683953,0.644433063,0.59882061,0.233856168,0.483716403,0.490407491,0.633469124,,0.416274479,81
