,,,,,,,,,,,a,b
-0.588425479,-0.572593557,-0.369666875,-0.557086148,-0.187958415,-0.539830928,-0.209682585,-0.213318041,-0.372465057,-0.210874269,,-0.382190135,45
-0.567686117,-0.39819758,-0.352542318,-0.384872464,-0.036596964,-0.549374732,-0.209682585,-0.213318041,-0.355294263,-0.210874269,,-0.327843933,46
-0.575941598,-0.39819758,-0.194278115,-0.384872464,-0.036596964,-0.549374732,-0.195201637,-0.19877702,-0.196602734,-0.196373629,,-0.292621647,47
-0.575941598,-0.380601577,-0.194278115,-0.367496648,-0.024976113,-0.529280652,-0.042557349,-0.045499501,-0.196602734,-0.043521772,,-0.240075606,48
-0.555408522,-0.380601577,-0.180051713,-0.185824244,0.098930312,-0.358677454,-0.042557349,-0.045499501,-0.18233792,-0.043521772,,-0.187554974,49
-0.383430924,-0.363296333,-0.180051713,-0.185824244,0.098930312,-0.358677454,-0.030838007,-0.033731543,-0.031971907,-0.031786494,,-0.150067831,50
-0.383430924,-0.182361802,-0.166060391,-0.171737535,0.108311687,-0.341734489,0.094118565,-0.033731543,-0.031971907,0.093339998,,-0.101525834,51
-0.366078928,-0.182361802,-0.018577268,-0.021648298,0.208442502,-0.164392196,0.094118565,-0.022158041,-0.020427481,0.093339998,,-0.039974295,52
-0.184655576,-0.168332308,-0.018577268,-0.021648298,0.208442502,-0.164392196,0.10357945,0.101243532,0.102664066,0.102813748,,0.006113765,53
-0.184655576,-0.018852666,-0.007254178,-0.010274461,0.216014278,-0.150659634,0.204558906,0.101243532,0.102664066,0.203930519,,0.045671479,54
-0.170588179,-0.018852666,0.113477398,0.1111147,0.296838033,-0.004329329,0.204558906,0.110586683,0.111983743,0.203930519,,0.095871981,55
-0.020704696,-0.007525025,0.113477398,0.1111147,0.296838033,-0.004329329,0.212194855,0.210309519,0.211456042,0.211576851,,0.133440835,56
-0.020704696,0.113371106,0.122618394,0.120294737,0.302949146,0.006758326,0.293703617,0.210309519,0.211456042,0.293196452,,0.165395264,57
-0.009346452,0.113371106,0.220183562,0.218285058,0.368181817,0.125094209,0.293703617,0.217850444,0.218978022,0.293196452,,0.205949784,58
0.111876298,0.122513859,0.220183562,0.218285058,0.368181817,0.125094209,0.299866524,0.298344886,0.299270235,0.299367739,,0.236298419,59
0.111876298,0.220106186,0.227561327,0.225694194,0.373114033,0.134043247,0.365652062,0.298344886,0.299270235,0.365242734,,0.26209052,60
0.121043751,0.220106186,0.306314138,0.304782485,0.425762683,0.229567886,0.365652062,0.3044311,0.305341157,0.365242734,,0.294824418,61
0.218899738,0.22748523,0.306314138,0.304782485,0.425762683,0.229567886,0.37062608,0.369397982,0.370144821,0.370223516,,0.319320456,62
0.218899738,0.306252299,0.312268666,0.310762322,0.429743423,0.236790582,0.423720945,0.369397982,0.370144821,0.42339058,,0.340137136,63
0.226298717,0.306252299,0.375829883,0.374593746,0.472235598,0.313888744,0.423720945,0.374310102,0.3750446,0.42339058,,0.366556521,64
0.305278587,0.312207849,0.375829883,0.374593746,0.472235598,0.313888744,0.427735422,0.426744237,0.427347003,0.427410517,,0.386327159,65
0.305278587,0.375780017,0.38063572,0.37942001,0.47544841,0.319718108,0.470587732,0.426744237,0.427347003,0.470321098,,0.403128092,66
0.311250227,0.375780017,0.431935356,0.37942001,0.509743398,0.381943313,0.470587732,0.430708757,0.431301563,0.470321098,,0.419299147,67
0.374994144,0.380586679,0.431935356,0.384166524,0.509743398,0.381943313,0.473827775,0.4730278,0.473514286,0.473565547,,0.435730482,68
0.379813792,0.380586679,0.435814098,0.356144305,0.512336425,0.386648131,0.443414589,0.476227522,0.476705969,0.473565547,,0.432125706,69
0.379813792,0.380586679,0.435814098,0.361275431,0.512336425,0.358559736,0.447103646,0.476227522,0.446216032,0.473565547,,0.427149891,70
0.379813792,0.382575407,0.435814098,-0.214372144,0.512336425,0.363650949,-0.176607729,0.476227522,0.449858797,0.474907918,,0.308420504,71
0.381807893,0.382575407,0.437418904,-0.199813704,0.513409275,0.363650949,-0.162673316,0.477551388,0.449858797,0.474907918,,0.311869351,72
0.353848572,0.382575407,0.407976622,-0.199813704,0.513409275,0.363650949,-0.503877736,0.447038907,0.449858797,0.474907918,,0.268957501,73
0.35728293,0.384121598,0.410816721,-0.199813704,0.513409275,0.365757409,-0.484535456,0.44945015,0.45136597,0.475951581,,0.272380647,74
0.35728293,0.356100577,-0.192573976,-0.193790236,0.514243391,0.365757409,-0.484535456,0.44945015,0.45136597,0.475951581,,0.209925234,75
0.35728293,0.359171594,-0.181136023,-0.513928444,0.482752457,0.365757409,-0.484535456,0.44945015,0.45136597,0.475951581,,0.176213217,76
0.359136009,-0.215297832,-0.181136023,-0.50096696,0.484571083,0.367395133,-0.476532701,0.450751186,0.452537762,0.476923072,,0.121738073,77
0.359136009,-0.204138489,-0.181136023,-0.615115067,0.484571083,0.367395133,-0.607513211,-0.175002812,-0.174216718,0.476923072,,-0.026909702,78
0.359136009,-0.204138489,-0.175744113,-0.598052374,0.484571083,0.367395133,-0.593524282,-0.166351938,-0.165901686,0.476923072,,-0.021568759,79
